rank,title,authors,journal,year,volume,issue,pages,doi,primary_category,categories,section_hint,in_catalog_matrix,has_cnki_link,core_bibliography_complete,missing_fields,verification_status,verification_note
11,中国式现代化视域下体育传播观可持续发展的意蕴、沿革与反思——基于中国共产党百年体育传播观的回溯,滕姗姗;胡奇,武汉体育学院学报,2024,58,04,22-29,10.15930/j.cnki.wtxb.2024.04.001,sports_knowledge_system,sports_knowledge_system,引言/结论：体育强国、中国式现代化与自主知识体系,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
12,残疾人群身体素养研究的国际趋势与本土镜鉴,翟华楠;周彤;吴燕丹;刘猛,武汉体育学院学报,2025,59,12,10-19,10.15930/j.cnki.wtxb.2025.12.001,embodiment_body_text,embodiment_body_text;sports_knowledge_system,理论框架：身体文本、具身经验与动作意义生成,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
13,高校女教师锻炼科普参与行为的路径机制与支持策略——基于“铁粉”群体的质性研究,魏晓燕;黄丽;伍朝明;赵艳霞;余海峡;肖琪;孙薇,武汉体育学院学报,2025,59,10,94-102,10.15930/j.cnki.wtxb.2025.10.007,embodiment_body_text,embodiment_body_text;sports_ethnography_method,理论框架：身体文本、具身经验与动作意义生成,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
14,人机对齐与价值对齐：奥林匹克运动中人工智能风险及中国治理方案,徐正旭,武汉体育学院学报,2026,60,01,43-51,10.15930/j.cnki.wtxb.2026.01.007,digital_ai_sport,digital_ai_sport;technology_time_philosophy,方法/讨论：数智体育、AI 辅助编码与技术治理,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
15,人工智能推动运动员选材发展的实践机遇、现实挑战与推进路径,章钰晗;王坤,武汉体育学院学报,2025,59,03,95-102,10.15930/j.cnki.wtxb.2025.03.001,embodiment_body_text,embodiment_body_text;digital_ai_sport,理论框架：身体文本、具身经验与动作意义生成,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
16,体育非物质文化遗产智能化保护与传播的数字技术赋权策略研究,崔琪;王坤,武汉体育学院学报,2024,58,09,59-65+96,10.15930/j.cnki.wtxb.2024.09.004,digital_ai_sport,digital_ai_sport,方法/讨论：数智体育、AI 辅助编码与技术治理,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
17,论回族武术拳谱的身体叙事形态——以《心意六合拳拳谱》为个案,马林;王明建,武汉体育学院学报,2024,58,11,56-63+81,10.15930/j.cnki.wtxb.2024.11.009,embodiment_body_text,embodiment_body_text;digital_ai_sport;traditional_sports_communication,理论框架：身体文本、具身经验与动作意义生成,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
18,从“离身”到“具身”:中小学体育教学的实践转向,刘宏宇;陈诺;孙贵龙,武汉体育学院学报,2026,60,01,86-93,10.15930/j.cnki.wtxb.2026.01.006,embodiment_body_text,embodiment_body_text,理论框架：身体文本、具身经验与动作意义生成,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
19,机遇、挑战、跨越：强国建设背景下民族传统体育传承发展研究,白晋湘,武汉体育学院学报,2026,60,01,1-8,10.15930/j.cnki.wtxb.2026.01.012,traditional_sports_communication,traditional_sports_communication,讨论：民族传统体育现代传播与文化主体性,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
20,24 h活动行为与4～6岁儿童执行功能：基于具身认知的成分等时替代分析,尹龙;李芳;杨宗宇;孙明云;刘攀;刘小明,武汉体育学院学报,2024,58,05,73-80,10.15930/j.cnki.wtxb.2024.05.010,embodiment_body_text,embodiment_body_text,理论框架：身体文本、具身经验与动作意义生成,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
21,从救亡图存到人民至上：中国式现代化进程中体育观念的内涵拓展,岳游松;刘素萍,武汉体育学院学报,2024,58,02,1-6+29,10.15930/j.cnki.wtxb.2024.02.001,embodiment_body_text,embodiment_body_text;sports_knowledge_system,理论框架：身体文本、具身经验与动作意义生成,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
22,撕掉“标签”:视障跑者的具身显现,张忠石;王智慧,武汉体育学院学报,2024,58,03,41-47+64,10.15930/j.cnki.wtxb.2024.03.007,embodiment_body_text,embodiment_body_text,理论框架：身体文本、具身经验与动作意义生成,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
23,数字化体育外交提升国家形象建构的时代诉求、实践困境与纾解路径,徐磊;王庆军;王锴,武汉体育学院学报,2024,58,11,32-39,10.15930/j.cnki.wtxb.2024.11.012,digital_ai_sport,digital_ai_sport;traditional_sports_communication;sports_knowledge_system,方法/讨论：数智体育、AI 辅助编码与技术治理,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
24,论学校体育德育中的具身学习,周生旺;程传银,武汉体育学院学报,2024,58,07,78-86,10.15930/j.cnki.wtxb.2024.07.005,embodiment_body_text,embodiment_body_text,理论框架：身体文本、具身经验与动作意义生成,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
25,中国式现代化进程中体育学科交叉融合：演化历程、守正创新与实践展望,黄谦;吕和武;崔书琴;张博祎;王兆毅,武汉体育学院学报,2023,57,12,5-14,10.15930/j.cnki.wtxb.2023.12.001,traditional_sports_communication,traditional_sports_communication;sports_knowledge_system,讨论：民族传统体育现代传播与文化主体性,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
26,人工智能体育裁判之“非完美性”的伦理审视,郭江浩,武汉体育学院学报,2025,59,10,36-43,10.15930/j.cnki.wtxb.2025.10.003,digital_ai_sport,digital_ai_sport;technology_time_philosophy,方法/讨论：数智体育、AI 辅助编码与技术治理,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
27,人工智能赋能奥林匹克运动变革的实践场景、风险隐忧与因应策略,闫丽敏;陈子瀚;孟国正,武汉体育学院学报,2025,59,12,20-27,10.15930/j.cnki.wtxb.2025.12.011,digital_ai_sport,digital_ai_sport;technology_time_philosophy,方法/讨论：数智体育、AI 辅助编码与技术治理,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
28,检视与调适：论体育裁判人工智能化的困境与出路,郭江浩;徐伟康,武汉体育学院学报,2025,59,01,33-39+93,10.15930/j.cnki.wtxb.2025.01.006,digital_ai_sport,digital_ai_sport;technology_time_philosophy,方法/讨论：数智体育、AI 辅助编码与技术治理,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
